Group,Title,Image,Description,Address,Latitude,Longitude,Found Address,Match Quality,Source,Rating
a,Oaklawn Language Academy,none,none,1810 Oaklawn Ave,35.251225,-80.850261,1810 Oaklawn Ave,Exact,US Census,3
a,Olde Providence Elementary,none,none,3800 Rea Rd,35.110635,-80.798773,3800 Rea Rd,Exact,US Census,4
a,Olympic High - Biotech Health Pub Admin,none,none,4301 Sandy Porter Rd   Suite E,35.158211,-80.952922,4301 Sandy Porter Rd   Suite E,Exact,US Census,2
a,Olympic High - Renaissance School,none,none,4301 Sandy Porter Rd   Suite D,35.15786,-80.952408,4301 Sandy Porter Rd   Suite D,Exact,US Census,4
a,Olympic High-Leadership and Development,none,none,4301 Sandy Porter Rd   Suite C,35.158209,-80.952951,4301 Sandy Porter Rd   Suite C,Exact,US Census,5
a,Olympic High-Math Eng Tech Science,none,none,4301 Sandy Porter Rd    Suite,35.158286,-80.952938,4301 Sandy Porter Rd    Suite,Exact,US Census,4
a,Olympic TEAM High School,none,none,4301 Sandy Porter Rd    Suite,35.158302,-80.952934,4301 Sandy Porter Rd    Suite,Exact,US Census,5
a,Palisades Park Elementary,none,none,15321 York Rd,35.093561,-81.02592,15321 York Rd,Exact,US Census,4
a,Park Road Montessori,none,none,3701 Haven Dr,35.17753,-80.848753,3701 Haven Dr,Exact,US Census,5
a,Parkside Elementary,none,none,2945 Johnston-Oehler Rd,35.360772,-80.760935,2945 Johnston-Oehler Rd,Exact,US Census,4
a,Paw Creek Elementary,none,none,1300 Cathey Rd,35.291096,-80.945218,1300 Cathey Rd,Exact,US Census,2
a,Performance Learning Center,none,none,2300 W Sugar Creek Road,35.29507,-80.795681,2300 W Sugar Creek Road,Exact,US Census,2
a,Phillip O Berry Academy of Technology,none,none,1430 Alleghany St,35.239231,-80.891683,1430 Alleghany St,Exact,US Census,4
a,Piedmont IB Middle,none,none,1241 E 10th St,35.223209,-80.823905,1241 E 10th St,Exact,US Census,5
a,Pineville Elementary,none,none,204 Lowery St,35.081481,-80.889505,204 Lowery St,Exact,US Census,3
a,Pinewood Elementary,none,none,805 Seneca Pl,35.166169,-80.864008,805 Seneca Pl,Exact,US Census,1
a,Piney Grove Elementary,none,none,8801 Eaglewind Dr,35.173065,-80.731053,8801 Eaglewind Dr,Exact,US Census,2
a,Pioneer Springs Community School,none,none,9300 Bob Beatty Rd.,35.34828,-80.822591,9300 Bob Beatty Rd.,Exact,US Census,3
a,Polo Ridge Elementary,none,none,11830 Tom Short Rd,35.046855,-80.795134,11830 Tom Short Rd,Exact,US Census,5
a,Providence High,none,none,1800 Pineville-Matthews Rd,35.110344,-80.763887,1800 Pineville-Matthews Rd,Exact,US Census,5
a,Providence Spring Elementary,none,none,10045 Providence Church Ln,35.072778,-80.769808,10045 Providence Church Ln,Exact,US Census,5
a,Quail Hollow Middle,none,none,2901 Smithfield Church Rd,35.113917,-80.854653,2901 Smithfield Church Rd,Exact,US Census,2
a,Queen City STEM School,none,none,8701 Mallard Creek Rd,35.32318,-80.775761,8701 Mallard Creek Rd,Exact,US Census,4
a,Queen's Grant Community School,none,none,6400 Matthews Mint Hill Road,35.16588,-80.662061,6400 Matthews Mint Hill Road,Exact,US Census,2
a,Rama Road Elementary,none,none,1035 Rama Rd,35.1697,-80.772267,1035 Rama Rd,Exact,US Census,1
a,Randolph Middle,none,none,4400 Water Oak Rd,35.184168,-80.794571,4400 Water Oak Rd,Exact,US Census,5
a,Ranson Middle,none,none,5850 Statesville Rd,35.300334,-80.838885,5850 Statesville Rd,Exact,US Census,2
a,Reedy Creek Elementary,none,none,10801 Plaza Rd Ext,35.260209,-80.684327,10801 Plaza Rd Ext,Exact,US Census,3
a,Reid Park Academy,none,none,4108 W Tyvola Rd,35.204978,-80.905386,4108 W Tyvola Rd,Exact,US Census,1
a,Renaissance West STEAM Academy,none,none,3241 New Renaissance Way,35.207655,-80.920803,3241 New Renaissance Way,Exact,US Census,2
a,Ridge Road Middle,none,none,7260 Highland Creek Pkwy,35.376236,-80.762653,7260 Highland Creek Pkwy,Exact,US Census,2
a,River Gate Elementary,none,none,15340 Smith Rd,35.087492,-80.977235,15340 Smith Rd,Exact,US Census,3
a,River Oaks Academy,none,none,1015 Mt Holly-Huntersville Rd,35.308338,-80.978597,1015 Mt Holly-Huntersville Rd,Exact,US Census,1
a,Rocky River High,none,none,10505 Clear Creek Commerce Dr,35.214252,-80.640044,10505 Clear Creek Commerce Dr,Exact,US Census,1
a,Sedgefield Elementary,none,none,715 Hartford Ave,35.190272,-80.863432,715 Hartford Ave,Exact,US Census,1
a,Sedgefield Middle,none,none,2700 Dorchester Pl,35.196755,-80.855862,2700 Dorchester Pl,Exact,US Census,5
a,Selwyn Elementary,none,none,2840 Colony Rd,35.167758,-80.834754,2840 Colony Rd,Exact,US Census,5
a,Shamrock Gardens Elementary,none,none,3301 Country Club Dr,35.234012,-80.788375,3301 Country Club Dr,Exact,US Census,3
a,Sharon Elementary,none,none,4330 Foxcroft Rd,35.152964,-80.817467,4330 Foxcroft Rd,Exact,US Census,5
a,Smithfield Elementary,none,none,3200 Smithfield Church Rd,35.110727,-80.851186,3200 Smithfield Church Rd,Exact,US Census,3
a,Socrates Academy,none,none,3909 Weddington Rd,35.072886,-80.72885,3909 Weddington Rd,Exact,US Census,5
a,South Charlotte Middle,none,none,8040 Strawberry Ln,35.090597,-80.799037,8040 Strawberry Ln,Exact,US Census,5
a,South Mecklenburg High,none,none,8900 Park Rd,35.109355,-80.860978,8900 Park Rd,Exact,US Census,3
a,Southwest Middle School,none,none,13624 Steele Creek Rd,35.107185,-80.990741,13624 Steele Creek Rd,Exact,US Census,1
a,Starmount Acad of Excellence,none,none,1600 Brookdale Ave,35.13929,-80.870511,1600 Brookdale Ave,Exact,US Census,1
a,Statesville Road Elementary,none,none,5521 Milhaven Ln,35.29595,-80.847521,5521 Milhaven Ln,Exact,US Census,1
a,Steele Creek Elementary,none,none,4100 Gallant Ln,35.1569,-80.955747,4100 Gallant Ln,Exact,US Census,2
a,Sterling Elementary,none,none,9601 China Grove Church Rd,35.107305,-80.884933,9601 China Grove Church Rd,Exact,US Census,2
a,Stewart Creek High,none,none,2701-F Freedom Dr,35.236459,-80.885543,2701-F Freedom Dr,Exact,US Census,1
a,Stoney Creek Elementary,none,none,14015 Mallard Roost Rd,35.348296,-80.725308,14015 Mallard Roost Rd,Exact,US Census,2
a,Sugar Creek Charter,none,none,4101 N Tryon Street,35.257679,-80.797545,4101 N Tryon Street,Exact,US Census,2
a,Thomasboro Academy,none,none,538 Bradford Dr,35.25466,-80.898698,538 Bradford Dr,Exact,US Census,3
a,Thunderbird Preparatory Academy,none,none,17609 Old Statesville Rd,35.45164,-80.843621,17609 Old Statesville Rd,Exact,US Census,2
a,Torrence Creek Elementary,none,none,14550 Ranson Rd,35.41215,-80.872686,14550 Ranson Rd,Exact,US Census,4
a,Trillium Springs Montessori,none,none,9213 Beatties Ford Rd,35.349525,-80.890772,9213 Beatties Ford Rd,Exact,US Census,4
a,Tuckaseegee Elementary,none,none,2028 Little Rock Rd,35.249533,-80.942031,2028 Little Rock Rd,Exact,US Census,1
a,Turning Point Academy,none,none,8701 Moores Chapel Rd,35.273766,-80.950755,8701 Moores Chapel Rd,Exact,US Census,3
a,United Community School,none,none,1406 Suther Road,35.30007,-80.727958,1406 Suther Road,Exact,US Census,2
a,Unity Classical Charter,none,none,1929 W Arrowood Rd,35.14281,-80.922561,1929 W Arrowood Rd,Exact,US Census,2
a,University Meadows Elementary,none,none,1600 Pavilion Blvd,35.31548,-80.714456,1600 Pavilion Blvd,Exact,US Census,1
a,University Park Creative Arts,none,none,2400 Hildebrand St,35.260804,-80.859241,2400 Hildebrand St,Exact,US Census,1
a,UpROAR Leadership Academy,none,none,5500 North Tryon St,35.26116,-80.773461,5500 North Tryon St,Exact,US Census,1
a,Vance High,none,none,7600 IBM Dr,35.300403,-80.769214,7600 IBM Dr,Exact,US Census,1
a,Vaughan Academy of Technology,none,none,8601 Old Concord Rd,35.285612,-80.733883,8601 Old Concord Rd,Exact,US Census,1
a,VERITAS Community School CFA,none,none,2600 Grimes Street,35.25203,-80.821421,2600 Grimes Street,Exact,US Census,1
a,Villa Heights Elementary,none,none,800 Everett Place,35.23673,-80.813271,800 Everett Place,Exact,US Census,1
a,Waddell Language Academy,none,none,7030 Nations Ford Rd,35.155297,-80.900227,7030 Nations Ford Rd,Exact,US Census,5
a,Walter G Byers School,none,none,1415 Hamilton St,35.244018,-80.84139,1415 Hamilton St,Exact,US Census,1
a,West Charlotte High,none,none,2219 Senior Dr,35.265404,-80.858453,2219 Senior Dr,Exact,US Census,1
a,West Mecklenburg High,none,none,7400 Tuckaseegee Rd,35.24792,-80.952017,7400 Tuckaseegee Rd,Exact,US Census,1
a,Westerly Hills Academy,none,none,4420 Denver Ave,35.231917,-80.911481,4420 Denver Ave,Exact,US Census,1
a,Whitewater Academy,none,none,11600 White Rapids Rd,35.28323,-80.992551,11600 White Rapids Rd,Exact,US Census,1
a,Whitewater Middle,none,none,10201 Running Rapids Rd,35.28323,-80.992551,10201 Running Rapids Rd,Exact,US Census,1
a,William Amos Hough High,none,none,12420 Bailey Rd,35.46729,-80.827491,12420 Bailey Rd,Exact,US Census,5
a,Wilson Middle School,none,none,7020 Tuckaseegee Rd,35.25012,-80.944031,7020 Tuckaseegee Rd,Exact,US Census,1
a,Winding Springs Elementary,none,none,6601 Horace Mann Rd,35.306431,-80.828575,6601 Horace Mann Rd,Exact,US Census,1
a,Windsor Park Elementary,none,none,3910 Sudbury Rd,35.223185,-80.759942,3910 Sudbury Rd,Exact,US Census,3
a,Winget Park Elementary,none,none,12235 Winget Rd,35.130809,-81.000545,12235 Winget Rd,Exact,US Census,4
a,Winterfield Elementary,none,none,3100 Winterfield Pl,35.208021,-80.766988,3100 Winterfield Pl,Exact,US Census,1
