schoolName,city,countyName,Address,state,latitude,longitude,schoolLevel,studentsNumber,Rating,schoolYear,Source
Providence Spring Elementary,Charlotte,Mecklenburg,10045 Providence Church Ln,NC,35.072778,-80.769808,Elementary,932.0,5,2017,US Census
Quail Hollow Middle,Charlotte,Mecklenburg,2901 Smithfield Church Rd,NC,35.113917,-80.854653,Middle,909.0,2,2017,US Census
Queen City STEM School,Charlotte,Mecklenburg,8701 Mallard Creek Rd,NC,35.32318,-80.775761,Elementary,380.0,4,2017,US Census
Rama Road Elementary,Charlotte,Mecklenburg,1035 Rama Rd,NC,35.1697,-80.772267,Elementary,603.0,1,2017,US Census
Randolph Middle,Charlotte,Mecklenburg,4400 Water Oak Rd,NC,35.184168,-80.79457099999998,Middle,1159.0,5,2017,US Census
Ranson Middle,Charlotte,Mecklenburg,5850 Statesville Rd,NC,35.300334,-80.838885,Middle,939.0,2,2017,US Census
Reedy Creek Elementary,Charlotte,Mecklenburg,10801 Plaza Rd Ext,NC,35.260209,-80.684327,Elementary,772.0,3,2017,US Census
Reid Park Academy,Charlotte,Mecklenburg,4108 W Tyvola Rd,NC,35.20497800000001,-80.905386,Elementary,899.0,1,2017,US Census
Ridge Road Middle,Charlotte,Mecklenburg,7260 Highland Creek Pkwy,NC,35.376236,-80.762653,Middle,1245.0,2,2017,US Census
River Gate Elementary,Charlotte,Mecklenburg,15340 Smith Rd,NC,35.087492,-80.977235,Elementary,794.0,3,2017,US Census
River Oaks Academy,Charlotte,Mecklenburg,1015 Mt Holly-Huntersville Rd,NC,35.308338,-80.978597,Elementary,596.0,1,2017,US Census
Sedgefield Middle,Charlotte,Mecklenburg,2700 Dorchester Pl,NC,35.196755,-80.855862,Middle,774.0,5,2017,US Census
Selwyn Elementary,Charlotte,Mecklenburg,2840 Colony Rd,NC,35.167758,-80.834754,Elementary,860.0,5,2017,US Census
Shamrock Gardens Elementary,Charlotte,Mecklenburg,3301 Country Club Dr,NC,35.234012,-80.788375,Elementary,488.0,3,2017,US Census
Sharon Elementary,Charlotte,Mecklenburg,4330 Foxcroft Rd,NC,35.152964000000004,-80.81746700000002,Elementary,830.0,5,2017,US Census
Smithfield Elementary,Charlotte,Mecklenburg,3200 Smithfield Church Rd,NC,35.110727000000004,-80.851186,Elementary,669.0,3,2017,US Census
South Charlotte Middle,Charlotte,Mecklenburg,8040 Strawberry Ln,NC,35.090596999999995,-80.799037,Middle,886.0,5,2017,US Census
South Mecklenburg High,Charlotte,Mecklenburg,8900 Park Rd,NC,35.109355,-80.860978,High,3031.0,3,2017,US Census
Southwest Middle School,Charlotte,Mecklenburg,13624 Steele Creek Rd,NC,35.107185,-80.990741,Middle,1388.0,1,2017,US Census
Starmount Academy of Excellence,Charlotte,Mecklenburg,1600 Brookdale Ave,NC,35.13929,-80.870511,Elementary,445.0,1,2017,US Census
Statesville Road Elementary,Charlotte,Mecklenburg,5521 Milhaven Ln,NC,35.29595,-80.847521,Elementary,566.0,1,2017,US Census
Steele Creek Elementary,Charlotte,Mecklenburg,4100 Gallant Ln,NC,35.1569,-80.955747,Elementary,774.0,2,2017,US Census
Stewart Creek High,Charlotte,Mecklenburg,2701-F Freedom Dr,NC,35.236459,-80.885543,High,149.0,1,2017,US Census
Stoney Creek Elementary,Charlotte,Mecklenburg,14015 Mallard Roost Rd,NC,35.34829600000001,-80.725308,Elementary,780.0,2,2017,US Census
Sugar Creek Charter,Charlotte,Mecklenburg,4101 N Tryon Street,NC,35.257679,-80.797545,Other,1504.0,2,2017,US Census
Thomasboro Academy,Charlotte,Mecklenburg,538 Bradford Dr,NC,35.25466,-80.898698,Elementary,653.0,3,2017,US Census
Tuckaseegee Elementary,Charlotte,Mecklenburg,2028 Little Rock Rd,NC,35.249533,-80.942031,Elementary,764.0,1,2017,US Census
Turning Point Academy,Charlotte,Mecklenburg,8701 Moores Chapel Rd,NC,35.27376599999999,-80.950755,High,160.0,3,2017,US Census
United Community School,Charlotte,Mecklenburg,1406 Suther Road,NC,35.30007,-80.727958,Elementary,186.0,2,2017,US Census
University Meadows Elementary,Charlotte,Mecklenburg,1600 Pavilion Blvd,NC,35.31548,-80.71445600000001,Elementary,645.0,1,2017,US Census
University Park Creative Arts,Charlotte,Mecklenburg,2400 Hildebrand St,NC,35.260804,-80.859241,Elementary,494.0,1,2017,US Census
Vance High,Charlotte,Mecklenburg,7600 IBM Dr,NC,35.300403,-80.769214,High,1674.0,1,2017,US Census
VERITAS Community School CFA,Charlotte,Mecklenburg,2600 Grimes Street,NC,35.25203,-80.821421,Elementary,147.0,1,2017,US Census
Villa Heights Elementary,Charlotte,Mecklenburg,800 Everett Place,NC,35.23673,-80.813271,Elementary,,2,2017,US Census
Villa Heights Elementary,Charlotte,Mecklenburg,800 Everett Place,NC,35.23673,-80.813271,Elementary,,1,2017,US Census
Waddell Language Academy,Charlotte,Mecklenburg,7030 Nations Ford Rd,NC,35.155297,-80.900227,Elementary,1382.0,5,2017,US Census
Walter G Byers School,Charlotte,Mecklenburg,1415 Hamilton St,NC,35.244018,-80.84139,Elementary,445.0,1,2017,US Census
West Charlotte High,Charlotte,Mecklenburg,2219 Senior Dr,NC,35.265404,-80.858453,High,1530.0,1,2017,US Census
West Mecklenburg High,Charlotte,Mecklenburg,7400 Tuckaseegee Rd,NC,35.24792,-80.952017,High,1804.0,1,2017,US Census
Westerly Hills Academy,Charlotte,Mecklenburg,4420 Denver Ave,NC,35.231917,-80.91148100000002,Elementary,549.0,1,2017,US Census
Whitewater Academy,Charlotte,Mecklenburg,11600 White Rapids Rd,NC,35.28323,-80.992551,Elementary,788.0,1,2017,US Census
Whitewater Middle,Charlotte,Mecklenburg,10201 Running Rapids Rd,NC,35.28323,-80.992551,Middle,833.0,1,2017,US Census
Wilson STEM Academy,Charlotte,Mecklenburg,7020 Tuckaseegee Rd,NC,35.25012,-80.94403100000002,Middle,,1,2017,US Census
Winding Springs Elementary,Charlotte,Mecklenburg,6601 Horace Mann Rd,NC,35.306431,-80.828575,Elementary,864.0,1,2017,US Census
Windsor Park Elementary,Charlotte,Mecklenburg,3910 Sudbury Rd,NC,35.223185,-80.75994200000002,Elementary,762.0,3,2017,US Census
Winget Park Elementary,Charlotte,Mecklenburg,12235 Winget Rd,NC,35.130809,-81.00054499999997,Elementary,454.0,4,2017,US Census
Winterfield Elementary,Charlotte,Mecklenburg,3100 Winterfield Pl,NC,35.208021,-80.766988,Elementary,679.0,1,2017,US Census
Bailey Middle,Cornelius,Mecklenburg,11900 Bailey Rd,NC,35.46745100000001,-80.837951,Middle,1666.0,5,2017,US Census
Cornelius Elementary,Cornelius,Mecklenburg,21126 Catawba Ave,NC,35.48172,-80.864216,Elementary,605.0,3,2017,US Census
J.V. Washam Elementary,Cornelius,Mecklenburg,9611 Westmoreland Rd,NC,35.466507,-80.86800500000003,Elementary,1033.0,4,2017,US Census
Lakeside Charter Academy,Cornelius,Mecklenburg,17609 Old Statesville Rd,NC,35.45164000000001,-80.843621,Elementary,157.0,2,2017,US Census
William Amos Hough High,Cornelius,Mecklenburg,12420 Bailey Rd,NC,35.46729000000001,-80.82749100000002,High,2594.0,5,2017,US Census
Barnette Elementary,Huntersville,Mecklenburg,13659 Beatties Ford Rd,NC,35.399842,-80.92486,Elementary,723.0,4,2017,US Census
Blythe Elementary,Huntersville,Mecklenburg,12202 Hambright Rd,NC,35.376415,-80.83529200000002,Elementary,1068.0,3,2017,US Census
Francis Bradley Middle,Huntersville,Mecklenburg,13345 Beatties Ford Rd,NC,35.396738,-80.924644,Middle,1063.0,4,2017,US Census
Grand Oak Elementary,Huntersville,Mecklenburg,15410 Stumptown Rd,NC,35.42650300000001,-80.87198000000002,Elementary,593.0,5,2017,US Census
Hopewell High,Huntersville,Mecklenburg,11530 Beatties Ford Rd,NC,35.378392,-80.911004,High,1662.0,3,2017,US Census
Huntersville Elementary,Huntersville,Mecklenburg,200 Gilead Rd,NC,35.411572,-80.84693299999998,Elementary,815.0,5,2017,US Census
J M Alexander Middle,Huntersville,Mecklenburg,12010 Hambright Rd,NC,35.376721,-80.838144,Middle,763.0,2,2017,US Census
Lake Norman Charter,Huntersville,Mecklenburg,12435 Old Statesville Road,NC,35.390651,-80.83574899999998,Other,1605.0,5,2017,US Census
Long Creek Elementary,Huntersville,Mecklenburg,9213-A Beatties Ford Rd,NC,35.350911,-80.88959100000002,Elementary,472.0,2,2017,US Census
North Mecklenburg High,Huntersville,Mecklenburg,11201 Old Statesville Rd,NC,35.372678,-80.834877,High,2193.0,3,2017,US Census
Torrence Creek Elementary,Huntersville,Mecklenburg,14550 Ranson Rd,NC,35.41215,-80.872686,Elementary,584.0,4,2017,US Census
Trillium Springs Montessori,Huntersville,Mecklenburg,9213 Beatties Ford Rd,NC,35.349525,-80.890772,Elementary,162.0,4,2017,US Census
Pineville Elementary,Pineville,Mecklenburg,204 Lowery St,NC,35.081481,-80.889505,Elementary,785.0,3,2017,US Census
Sterling Elementary,Pineville,Mecklenburg,9601 China Grove Church Rd,NC,35.107305,-80.88493299999998,Elementary,648.0,2,2017,US Census
Butler High,Matthews,Mecklenburg,1810 Matthews-Mint Hill Rd,NC,35.120282,-80.69159300000003,High,2141.0,3,2017,US Census
Crestdale Middle,Matthews,Mecklenburg,940 Sam Newell Rd,NC,35.128716,-80.71805400000002,Middle,782.0,5,2017,US Census
Crown Point Elementary,Matthews,Mecklenburg,3335 Sam Newell Rd,NC,35.159931,-80.715017,Elementary,690.0,3,2017,US Census
Elizabeth Lane Elementary,Matthews,Mecklenburg,121 Elizabeth Ln,NC,35.112579,-80.74740600000001,Elementary,1067.0,3,2017,US Census
Levine Middle College High,Matthews,Mecklenburg,2728 Campus Ridge Rd,NC,35.107409999999994,-80.692786,High,246.0,4,2017,US Census
Matthews Charter Academy,Matthews,Mecklenburg,2332 Mount Harmony Church Rd.,NC,35.109514000000004,-80.678875,Elementary,547.0,3,2017,US Census
Matthews Elementary,Matthews,Mecklenburg,200 McDowell Ave,NC,35.113195000000005,-80.723443,Elementary,933.0,4,2017,US Census
Mint Hill Middle,Matthews,Mecklenburg,11501 Idewild Rd,NC,35.153045,-80.69848,Middle,1195.0,4,2017,US Census
Socrates Academy,Matthews,Mecklenburg,3909 Weddington Rd,NC,35.072886,-80.72885,Elementary,675.0,5,2017,US Census
Community School of Davidson,Davidson,Mecklenburg,404 Armour Street,NC,35.501804,-80.859593,Other,1371.0,4,2017,US Census
Davidson Elementary,Davidson,Mecklenburg,635 South St,NC,35.489791,-80.8484,Elementary,708.0,5,2017,US Census
